,teamname,league,date,blue_side,gamelength,game,result,teamkills,teamdeaths,firstblood,dragons,barons,opp_barons,towers,opp_towers,inhibitors,opp_inhibitors,damagetochampions,damagetakenperminute,wardsplaced,wardskilled,controlwardsbought,totalgold,gspd
47,Victory Five,LPL,2021-01-13 11:05:34,0,2154,3.0,0,15,17,1.0,0.0,1.0,1.0,4.0,7.0,0.0,1.0,59492.0,3100.195,116.0,62.0,48.0,62538,-0.0440137
48,Invictus Gaming,LPL,2021-01-13 11:17:39,0,1732,1.0,0,1,13,0.0,1.0,0.0,1.0,2.0,9.0,0.0,1.0,32008.0,1861.6628,91.0,54.0,40.0,43780,-0.147987
49,LNG Esports,LPL,2021-01-13 11:17:39,1,1732,1.0,1,13,1,1.0,4.0,1.0,0.0,9.0,2.0,1.0,0.0,37981.0,2282.2864,115.0,45.0,32.0,57629,0.147987
50,T1,LCK,2021-01-13 11:32:05,0,1787,2.0,0,8,17,1.0,0.0,0.0,1.0,5.0,9.0,0.0,2.0,45013.0,2378.4779,98.0,47.0,43.0,52317,0.0259813
51,Hanwha Life Esports,LCK,2021-01-13 11:32:05,1,1787,2.0,1,17,8,0.0,4.0,1.0,0.0,9.0,5.0,2.0,0.0,53683.0,2448.8528,107.0,57.0,48.0,56801,-0.0259813
52,T1,LCK,2021-01-13 12:29:11,1,1801,3.0,1,24,16,1.0,4.0,1.0,0.0,10.0,1.0,1.0,0.0,67988.0,3750.3831,94.0,47.0,44.0,65224,0.115747
53,Hanwha Life Esports,LCK,2021-01-13 12:29:11,0,1801,3.0,0,16,24,0.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,67219.0,2754.4364,102.0,48.0,46.0,51051,-0.115747
54,Nongshim RedForce,LCK,2021-01-14 07:35:03,1,1939,1.0,1,8,5,1.0,4.0,1.0,0.0,7.0,2.0,1.0,0.0,59100.0,2215.2037,120.0,63.0,53.0,56981,0.0746756
55,Liiv SANDBOX,LCK,2021-01-14 07:35:03,0,1939,1.0,0,5,8,0.0,1.0,0.0,1.0,2.0,7.0,0.0,1.0,40389.0,2588.819,111.0,49.0,57.0,49069,-0.0746756
56,Liiv SANDBOX,LCK,2021-01-14 08:45:33,1,1585,2.0,1,28,6,1.0,3.0,1.0,0.0,9.0,4.0,1.0,0.0,75967.0,2761.8549,85.0,27.0,40.0,54750,0.214138
57,Nongshim RedForce,LCK,2021-01-14 08:45:33,0,1585,2.0,0,6,28,0.0,0.0,0.0,1.0,4.0,9.0,0.0,1.0,50357.0,3800.7066,82.0,31.0,32.0,41704,-0.214138
58,Bilibili Gaming,LPL,2021-01-14 09:18:34,1,2645,1.0,0,21,25,1.0,3.0,2.0,1.0,5.0,10.0,1.0,2.0,139788.0,3535.0321,141.0,90.0,60.0,81021,0.0152623
59,JD Gaming,LPL,2021-01-14 09:18:34,0,2645,1.0,1,25,21,0.0,4.0,1.0,2.0,10.0,5.0,2.0,1.0,126618.0,4350.1928,174.0,75.0,48.0,83518,-0.0152623
60,Nongshim RedForce,LCK,2021-01-14 09:37:48,1,1838,3.0,1,10,8,0.0,2.0,1.0,0.0,9.0,4.0,2.0,0.0,47388.0,2832.568,109.0,45.0,46.0,54089,-0.00868827
61,Liiv SANDBOX,LCK,2021-01-14 09:37:48,0,1838,3.0,0,7,10,1.0,3.0,0.0,1.0,4.0,9.0,0.0,2.0,61586.0,2122.3286,106.0,46.0,53.0,50895,0.00868827
62,JD Gaming,LPL,2021-01-14 10:22:42,1,1832,2.0,1,19,8,0.0,4.0,1.0,0.0,8.0,3.0,1.0,0.0,66502.0,2176.1135,99.0,49.0,23.0,62188,0.0835923
63,Bilibili Gaming,LPL,2021-01-14 10:22:42,0,1832,2.0,0,8,19,1.0,0.0,0.0,1.0,3.0,8.0,0.0,1.0,39206.0,2919.3668,90.0,43.0,41.0,49940,-0.0835923
64,Kwangdong Freecs,LCK,2021-01-14 11:19:56,0,2162,1.0,0,8,13,1.0,3.0,0.0,1.0,5.0,11.0,0.0,3.0,48562.0,2654.7641,141.0,87.0,72.0,62152,-0.0371356
65,DRX,LCK,2021-01-14 11:19:56,1,2162,1.0,1,13,8,0.0,3.0,1.0,0.0,11.0,5.0,3.0,0.0,62156.0,1931.2118,167.0,72.0,48.0,69380,0.0371356
66,Royal Never Give Up,LPL,2021-01-14 11:24:29,1,2628,1.0,1,22,16,0.0,4.0,4.0,0.0,11.0,0.0,5.0,0.0,116129.0,3031.2329,201.0,79.0,65.0,88380,0.0729215
67,Suning,LPL,2021-01-14 11:24:29,0,2628,1.0,0,16,22,1.0,3.0,0.0,4.0,0.0,11.0,0.0,5.0,88832.0,3553.1735,156.0,110.0,52.0,75389,-0.0729215
68,Royal Never Give Up,LPL,2021-01-14 12:26:09,1,1971,2.0,0,8,20,1.0,1.0,1.0,0.0,3.0,7.0,0.0,1.0,53488.0,2939.5738,110.0,50.0,46.0,53013,-0.0474041
69,Suning,LPL,2021-01-14 12:26:09,0,1971,2.0,1,20,8,0.0,4.0,0.0,1.0,7.0,3.0,1.0,0.0,75095.0,2448.0061,113.0,59.0,45.0,61291,0.0474041
70,Kwangdong Freecs,LCK,2021-01-14 12:33:18,1,1797,2.0,1,19,2,1.0,4.0,1.0,0.0,8.0,0.0,1.0,0.0,59168.0,2904.3406,102.0,63.0,44.0,58050,0.2008
71,DRX,LCK,2021-01-14 12:33:18,0,1797,2.0,0,2,19,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,55752.0,2512.9883,119.0,39.0,33.0,43760,-0.2008
72,Suning,LPL,2021-01-14 13:19:05,1,2565,3.0,0,2,12,0.0,2.0,1.0,0.0,3.0,7.0,0.0,1.0,64696.0,2483.2982,184.0,111.0,41.0,70933,0.000866864
73,Royal Never Give Up,LPL,2021-01-14 13:19:05,0,2565,3.0,1,12,2,1.0,4.0,0.0,1.0,7.0,3.0,1.0,0.0,68497.0,2394.0351,201.0,90.0,71.0,75833,-0.000866864
74,DRX,LCK,2021-01-14 13:50:50,1,2343,3.0,1,11,4,1.0,3.0,1.0,0.0,10.0,3.0,2.0,0.0,80809.0,2743.5083,136.0,68.0,47.0,69700,0.0385333
75,Kwangdong Freecs,LCK,2021-01-14 13:50:50,0,2343,3.0,0,4,11,0.0,2.0,0.0,1.0,3.0,10.0,0.0,2.0,69849.0,2755.2881,136.0,69.0,68.0,61472,-0.0385333
76,Gen.G,LCK,2021-01-15 05:53:23,0,1835,1.0,1,9,3,1.0,2.0,1.0,0.0,10.0,1.0,2.0,0.0,35020.0,2653.2098,149.0,67.0,50.0,59218,0.0974773
77,Fredit BRION,LCK,2021-01-15 05:53:23,1,1835,1.0,0,3,9,0.0,2.0,0.0,1.0,1.0,10.0,0.0,2.0,42886.0,2163.6621,142.0,91.0,51.0,49417,-0.0974773
78,Gen.G,LCK,2021-01-15 08:43:35,1,1664,2.0,1,21,6,0.0,3.0,1.0,0.0,10.0,2.0,2.0,0.0,54894.0,2203.1611,100.0,45.0,34.0,59221,0.190653
79,Fredit BRION,LCK,2021-01-15 08:43:35,0,1664,2.0,0,6,21,1.0,0.0,0.0,1.0,2.0,10.0,0.0,2.0,39397.0,2832.6202,106.0,34.0,42.0,44660,-0.190653
80,Rogue Warriors,LPL,2021-01-15 09:18:27,1,1679,1.0,0,7,19,0.0,1.0,0.0,1.0,1.0,9.0,0.0,1.0,41431.0,3064.1453,90.0,39.0,36.0,44302,-0.135297
81,eStar,LPL,2021-01-15 09:18:27,0,1679,1.0,1,19,7,1.0,2.0,1.0,0.0,9.0,1.0,1.0,0.0,61236.0,2277.2841,98.0,44.0,31.0,54505,0.135297
82,DWG KIA,LCK,2021-01-15 09:38:04,1,1887,1.0,0,3,13,0.0,1.0,0.0,1.0,3.0,11.0,0.0,3.0,31247.0,2665.8506,115.0,45.0,55.0,50284,-0.0839127
83,T1,LCK,2021-01-15 09:38:04,0,1887,1.0,1,13,3,1.0,3.0,1.0,0.0,11.0,3.0,3.0,0.0,51980.0,2052.3688,99.0,54.0,42.0,60362,0.0839127
84,eStar,LPL,2021-01-15 10:06:35,1,1853,2.0,1,22,4,1.0,4.0,1.0,0.0,11.0,2.0,3.0,0.0,69549.0,2134.6465,160.0,53.0,48.0,61699,0.238378
85,Rogue Warriors,LPL,2021-01-15 10:06:35,0,1853,2.0,0,4,22,0.0,0.0,0.0,1.0,2.0,11.0,0.0,3.0,40029.0,2990.9984,106.0,66.0,55.0,45912,-0.238378
86,Top Esports,LPL,2021-01-15 11:10:58,1,1762,1.0,1,21,7,1.0,3.0,2.0,0.0,10.0,1.0,2.0,0.0,49775.0,3202.3723,94.0,44.0,43.0,63135,0.219211
87,Rare Atom,LPL,2021-01-15 11:10:58,0,1762,1.0,0,7,21,0.0,1.0,0.0,2.0,1.0,10.0,0.0,2.0,53368.0,2208.7287,90.0,40.0,34.0,49195,-0.219211
88,DWG KIA,LCK,2021-01-15 11:21:32,0,2002,2.0,1,18,5,1.0,4.0,1.0,0.0,9.0,1.0,2.0,0.0,75010.0,2288.8711,132.0,64.0,56.0,65070,0.167194
89,T1,LCK,2021-01-15 11:21:32,1,2002,2.0,0,5,18,0.0,1.0,0.0,1.0,1.0,9.0,0.0,2.0,44256.0,3058.8911,115.0,60.0,53.0,51889,-0.167194
90,Top Esports,LPL,2021-01-15 12:00:45,1,1780,2.0,1,15,3,1.0,3.0,1.0,0.0,10.0,2.0,2.0,0.0,69565.0,2525.2584,96.0,50.0,36.0,56088,0.0823067
91,Rare Atom,LPL,2021-01-15 12:00:45,0,1780,2.0,0,3,15,0.0,1.0,0.0,1.0,2.0,10.0,0.0,2.0,39256.0,3352.5169,88.0,42.0,28.0,47381,-0.0823067
92,DWG KIA,LCK,2021-01-15 12:21:44,1,2463,3.0,1,17,18,0.0,5.0,2.0,0.0,10.0,5.0,3.0,0.0,80529.0,2881.3398,167.0,80.0,64.0,80370,-0.0168588
93,T1,LCK,2021-01-15 12:21:44,0,2463,3.0,0,18,17,1.0,1.0,0.0,2.0,5.0,10.0,0.0,3.0,71289.0,3032.229,149.0,70.0,72.0,72946,0.0168588
94,100 Thieves,LCS,2021-01-15 23:10:17,1,1623,1.0,1,11,2,1.0,2.0,1.0,0.0,11.0,0.0,3.0,0.0,47438.0,2355.5268,100.0,57.0,37.0,53632,0.301376
95,TSM,LCS,2021-01-15 23:10:17,0,1623,1.0,0,1,12,0.0,2.0,0.0,1.0,0.0,11.0,0.0,3.0,35893.0,2364.9908,90.0,32.0,37.0,39380,-0.301376
96,Team Liquid,LCS,2021-01-15 23:45:13,1,1489,1.0,1,20,3,1.0,4.0,1.0,0.0,9.0,1.0,1.0,0.0,50362.0,2487.6024,77.0,31.0,30.0,53386,0.243523
97,Counter Logic Gaming,LCS,2021-01-15 23:45:13,0,1489,1.0,0,3,20,0.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,22890.0,2516.5749,74.0,23.0,30.0,38395,-0.243523
98,Cloud9,LCS,2021-01-16 00:46:51,0,2697,1.0,0,10,21,1.0,3.0,0.0,1.0,2.0,9.0,0.0,1.0,76365.0,3195.9511,163.0,94.0,58.0,71625,-0.0931545
99,Evil Geniuses,LCS,2021-01-16 00:46:51,1,2697,1.0,1,21,10,0.0,4.0,1.0,0.0,9.0,2.0,1.0,0.0,105548.0,2546.2291,193.0,94.0,70.0,83229,0.0931545
100,FlyQuest,LCS,2021-01-16 01:56:42,0,1470,1.0,0,3,16,1.0,1.0,0.0,1.0,0.0,11.0,0.0,2.0,34508.0,2300.6122,58.0,21.0,18.0,35642,-0.222311
101,Dignitas,LCS,2021-01-16 01:56:42,1,1470,1.0,1,16,3,0.0,2.0,1.0,0.0,11.0,0.0,2.0,0.0,37415.0,2393.8367,79.0,27.0,34.0,50113,0.222311
102,Counter Logic Gaming,LCS,2021-01-16 02:45:54,1,1861,1.0,0,6,18,0.0,2.0,0.0,1.0,2.0,6.0,0.0,1.0,48018.0,3840.6771,88.0,35.0,36.0,48468,-0.0769424
103,Golden Guardians,LCS,2021-01-16 02:45:54,0,1861,1.0,1,18,6,1.0,3.0,1.0,0.0,6.0,2.0,1.0,0.0,87028.0,2310.3385,102.0,38.0,35.0,60097,0.0769424
104,Liiv SANDBOX,LCK,2021-01-16 06:07:26,1,2070,1.0,0,5,15,0.0,3.0,0.0,3.0,2.0,9.0,0.0,1.0,36883.0,2229.1304,138.0,83.0,71.0,55707,-0.117006
105,KT Rolster,LCK,2021-01-16 06:07:26,0,2070,1.0,1,15,5,1.0,2.0,3.0,0.0,9.0,2.0,1.0,0.0,56458.0,2199.1884,171.0,63.0,58.0,71521,0.117006
106,KT Rolster,LCK,2021-01-16 08:50:13,1,1850,2.0,1,19,7,0.0,1.0,1.0,0.0,9.0,3.0,1.0,0.0,74701.0,2176.0865,135.0,51.0,48.0,59774,0.0851522
107,Liiv SANDBOX,LCK,2021-01-16 08:50:13,0,1850,2.0,0,7,19,1.0,4.0,0.0,1.0,3.0,9.0,0.0,1.0,38584.0,3241.1676,135.0,53.0,49.0,49110,-0.0851522
108,Hanwha Life Esports,LCK,2021-01-16 09:46:23,1,1659,1.0,1,21,5,1.0,3.0,1.0,0.0,9.0,3.0,2.0,0.0,66284.0,2346.4014,102.0,49.0,37.0,57977,0.245264
109,DRX,LCK,2021-01-16 09:46:23,0,1659,1.0,0,5,21,0.0,0.0,0.0,1.0,3.0,9.0,0.0,2.0,34492.0,3281.6275,95.0,30.0,34.0,43233,-0.245264
110,Victory Five,LPL,2021-01-16 11:11:12,1,1541,3.0,1,12,2,1.0,3.0,1.0,0.0,11.0,2.0,2.0,0.0,37889.0,2429.2797,73.0,26.0,31.0,50440,0.112227
111,LGD Gaming,LPL,2021-01-16 11:11:12,0,1541,3.0,0,2,12,0.0,1.0,0.0,1.0,2.0,11.0,0.0,2.0,32865.0,2221.0123,74.0,38.0,30.0,40695,-0.112227
112,FunPlus Phoenix,LPL,2021-01-16 11:15:50,0,2041,1.0,0,2,11,0.0,1.0,1.0,0.0,3.0,7.0,0.0,1.0,54330.0,2225.0857,134.0,67.0,56.0,54841,-0.0208189
113,EDward Gaming,LPL,2021-01-16 11:15:50,1,2041,1.0,1,11,2,1.0,4.0,0.0,1.0,7.0,3.0,1.0,0.0,45427.0,2558.6869,147.0,78.0,43.0,63302,0.0208189
114,DRX,LCK,2021-01-16 11:22:11,1,1680,2.0,1,14,6,1.0,2.0,1.0,0.0,9.0,5.0,1.0,0.0,55647.0,2121.6429,106.0,43.0,28.0,52956,-0.00491132
115,Hanwha Life Esports,LCK,2021-01-16 11:22:11,0,1680,2.0,0,6,14,0.0,2.0,0.0,1.0,5.0,9.0,0.0,1.0,37034.0,2985.6071,93.0,48.0,42.0,49070,0.00491132
116,FunPlus Phoenix,LPL,2021-01-16 12:09:11,1,2132,2.0,1,17,10,0.0,3.0,1.0,1.0,8.0,3.0,1.0,0.0,87172.0,2587.2326,145.0,45.0,63.0,65475,0.00779067
117,EDward Gaming,LPL,2021-01-16 12:09:11,0,2132,2.0,0,10,17,1.0,3.0,1.0,1.0,3.0,8.0,0.0,1.0,60355.0,3005.2908,121.0,78.0,52.0,60672,-0.00779067
118,Hanwha Life Esports,LCK,2021-01-16 12:14:34,1,1984,3.0,1,23,10,0.0,4.0,1.0,0.0,8.0,5.0,1.0,0.0,67029.0,3082.8024,135.0,86.0,49.0,62120,0.0484768
119,DRX,LCK,2021-01-16 12:14:34,0,1984,3.0,0,10,23,1.0,1.0,0.0,1.0,5.0,8.0,0.0,1.0,68666.0,2877.8528,151.0,65.0,50.0,55186,-0.0484768
120,EDward Gaming,LPL,2021-01-16 13:03:57,1,2090,3.0,1,10,8,0.0,4.0,1.0,0.0,8.0,3.0,1.0,0.0,61420.0,2174.2105,106.0,71.0,45.0,64862,0.0297315
121,FunPlus Phoenix,LPL,2021-01-16 13:03:57,0,2090,3.0,0,8,10,1.0,2.0,0.0,1.0,3.0,8.0,0.0,1.0,46143.0,2614.3062,127.0,42.0,52.0,57924,-0.0297315
122,paiN Gaming,CBLOL,2021-01-16 15:41:37,1,2209,1.0,0,13,15,0.0,4.0,1.0,1.0,3.0,10.0,0.0,2.0,58366.0,3180.7877,126.0,69.0,49.0,62991,-0.0740618
123,LOUD,CBLOL,2021-01-16 15:41:37,0,2209,1.0,1,15,13,1.0,2.0,1.0,1.0,10.0,3.0,2.0,0.0,78165.0,2713.9882,151.0,44.0,55.0,69408,0.0740618
124,FURIA,CBLOL,2021-01-16 17:03:50,0,2110,1.0,1,20,16,1.0,4.0,2.0,0.0,11.0,3.0,3.0,0.0,69219.0,3012.5972,105.0,50.0,53.0,67091,0.102289
125,Rensga eSports,CBLOL,2021-01-16 17:03:50,1,2110,1.0,0,16,20,0.0,1.0,0.0,2.0,3.0,11.0,0.0,3.0,77953.0,3002.1043,107.0,45.0,48.0,58111,-0.102289
126,KaBuM! e-Sports,CBLOL,2021-01-16 18:05:20,1,2200,1.0,0,9,23,1.0,2.0,1.0,1.0,4.0,9.0,0.0,2.0,70240.0,2790.8455,129.0,47.0,67.0,60126,-0.120344
127,RED Canids,CBLOL,2021-01-16 18:05:20,0,2200,1.0,1,23,9,0.0,4.0,1.0,1.0,9.0,4.0,2.0,0.0,74884.0,3083.2909,114.0,62.0,49.0,68901,0.120344
